,Unnamed: 0,category,name,ingredients,method,garnish,diffords,diffords_url,method_esp
72,72,The Unforgettables,Manhattan,"50 ml Rye Whiskey,20 ml Sweet Red Vermouth,1 dash Angostura Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,Garnish with a cocktail cherry.,Manhattan,/cocktails/recipe/1247/manhattan-sweet,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Colar en una copa de cóctel fría.
73,73,The Unforgettables,Martinez,"45 ml London Dry Gin,45 ml Sweet Red Vermouth,1 Bar Spoon Maraschino Liqueur,2 Dashes Orange Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,Lemon zest.,Martinez,/cocktails/recipe/1264/martinez,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de cóctel fría.
74,74,The Unforgettables,Mary Pickford,"45 ml White Rum,45 ml Fresh Pineapple Juice,7.5 ml Maraschino Luxardo,5 ml Grenadine Syrup","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,Mary Pickford,/cocktails/recipe/1268/mary-pickford-cocktail,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
75,75,The Unforgettables,Monkey Gland,"45 ml Dry Gin,45 ml Fresh Orange Juice,1 Table Spoon Absinthe,1 Table Spoon Grenadine Syrup","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,Monkey Gland,/cocktails/recipe/1349/monkey-gland,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
76,76,The Unforgettables,Negroni,"30 ml Gin,30 ml Bitter Campari,30 ml Sweet Red Vermouth","Pour all ingredients directly into a chilled old fashioned glass filled with ice, Stir gently.",Garnish with a half orange slice.,Negroni,/cocktails/recipe/1392/negroni-cocktail,"Verter todos los ingredientes directamente en un vaso old fashioned frío lleno de hielo, remover suavemente."
77,77,The Unforgettables,Old Fashioned,"45 ml Bourbon or Rye Whiskey,1 Sugar Cube,Few Dashes Angostura Bitters,Few Dashes Plain Water","Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Stir gently.","Garnish with an orange slice or zest, and a cocktail cherry.",Old Fashioned,/cocktails/recipe/1427/old-fashioned-cocktail-diffords-recipe,"Colocar el terrón de azúcar en un vaso old fashioned y saturar con bitter, añadir unos chorritos de agua sola. Mezcle hasta que se disuelva. Llene el vaso con cubitos de hielo y añada whisky. Remover suavemente."
78,78,The Unforgettables,Paradise,"30 ml Gin,20 ml Apricot Brandy,15 ml Fresh Orange Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,Paradise,/cocktails/recipe/1466/paradise,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
79,79,The Unforgettables,Planter's Punch,"45 ml Jamaican Rum,15 ml Lime Juice,30 ml Sugar Cane Juice","Pour all ingredients directly in a small tumbler or a typical terracotta glass. NOTE: Add dilution up to taste, it can be given by water, ice or fresh juices.",Garnish with orange zest.,Planter's Punch,/cocktails/recipe/1566/planters-punch,"Verter todos los ingredientes directamente en un vaso pequeño o en un vaso típico de terracota. NOTA: Añadir dilución al gusto, puede ser agua, hielo o zumos frescos."
82,82,The Unforgettables,Rusty Nail,"45 ml Scotch Whisky,25 ml Drambuie",Pour all ingredients directly into an old fashioned glass filled with ice. Stir gently.,Garnish with lemon zest.,Rusty Nail,/cocktails/recipe/1721/rusty-nail,Vierta todos los ingredientes directamente en un vaso old fashioned lleno de hielo. Remover suavemente.
83,83,The Unforgettables,Sazerac,"50 ml Cognac,10 ml Absinthe,1 Sugar Cube,2 Dashes Peychaud's Bitters","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass. Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass.  NOTE: The original recipe changed after the American Civil War, Rye Whiskey substituted Cognac as it became hard to obtain.",Garnish with lemon zest.,Sazerac,/cocktails/recipe/1752/sazerac-cocktail-diffords-recipe,"Enjuaga un vaso old-fashioned frío con la absenta, añade hielo picado y resérvalo. Remueva el resto de ingredientes sobre hielo en un vaso mezclador. Deseche el hielo y el exceso de absenta del vaso preparado y cuele la bebida mezclada en el vaso.  NOTA: La receta original se modificó después de la Guerra de Secesión, y el whisky de centeno sustituyó al coñac, que era difícil de conseguir."
84,84,The Unforgettables,Sidecar,"50 ml Cognac,20 ml Triple Sec,20 ml Fresh Lemon Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,Sidecar,/cocktails/recipe/1773/sidecar-diffords-spec,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
85,85,The Unforgettables,Stinger,"50 ml Cognac,20 ml White Crème de Menthe",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Optional mint leave.,Stinger,/cocktails/recipe/1874/stinger,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de martini fría.
86,86,The Unforgettables,Tuxedo,"30 ml Old Tom Gin,30 ml Dry Vermouth,1/2 Bar Spoon Maraschino Luxardo,1/4 Bar Spoon of Absinthe,3 Dashes Orange Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Garnish with cherry and lemon zest,Tuxedo,/cocktails/recipe/4605/tuxedo-no-2-flora-bars-recipe,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de martini fría.
88,88,The Unforgettables,Whiskey Sour,"45 ml Bourbon Whiskey,25 ml Fresh Lemon Juice,20 ml Sugar Syrup,20 ml Egg White (Optional)","Pour all ingredients into a cocktail shaker filled with ice. Shake well. Strain into cobbler glass. If served “On the rocks”, strain ingredients into an old fashioned glass filled with ice.  NOTE: If egg white is used shake little harder to release and incorporate the foam from the egg white.","Garnish with a half orange slice and maraschino cherry, optionally use orange zest.",Whiskey Sour,/cocktails/recipe/2083/whiskey-sour-diffords-recipe,"Vierta todos los ingredientes en una coctelera llena de hielo. Agitar bien. Colar en un vaso ""cobbler"". Si se sirve ""con hielo"", colar los ingredientes en un vaso old fashioned lleno de hielo.  NOTA: Si se utiliza clara de huevo, agitar un poco más fuerte para liberar e incorporar la espuma de la clara."
89,89,The Unforgettables,White Lady,"40 ml Gin,30 ml Triple Sec,20 ml Fresh Lemon Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,White Lady,/cocktails/recipe/2091/white-lady-cocktail,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría."
