,Unnamed: 0,category,name,ingredients,method,garnish,diffords,diffords_url,method_esp,diff_glass,diff_garnish,diff_nutrition
52,52,The Unforgettables,Casino,"{'Old Tom Gin': '40', 'Maraschino Luxardo': '10', 'Fresh Lemon Juice': '10'}","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled rocks glass with ice.",Garnish with lemon zest and a maraschino cherry.,Casino,/cocktails/recipe/2332/casino,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en un vaso de cristal con hielo.",Nick & Nora glass,Luxardo Maraschino cherry,150.0
53,53,The Unforgettables,Clover Club,"{'Gin': '45', 'Raspberry Syrup': '15', 'Fresh Lemon Juice': '15'}","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled cocktail glass.",Fresh raspberries.,Clover Club,/cocktails/recipe/2809/clover-club-house-made,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Coupe glass,Lemon zest twist (expressed and discarded) & skewered raspberry,
54,54,The Unforgettables,Daiquiri,"{'White Cuban Ron': '60', 'Fresh Lime Juice': '20'}",In a cocktail shaker add all ingredients. Stir well to dissolve the sugar. Add ice and shake. Strain into chilled cocktail glass.,,Daiquiri,/cocktails/recipe/611/daiquiri-diffords-recipe,"En una coctelera, añada todos los ingredientes. Remover bien para disolver el azúcar. Añadir hielo y agitar. Colar en una copa de cóctel fría.",Nick & Nora glass,Lime zest twist (expressed & then discarded) & lime wedge on rim,
55,55,The Unforgettables,Dry Martini,"{'Gin': '60', 'Dry Vermouth': '10'}",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,"Squeeze oil from lemon peel onto the drink, or garnish with green olives if requested.",Dry Martini,/cocktails/recipe/676/dry-martini-preferred-51-ratio,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de martini fría.,Martini glass,Chilled skewered olive or lemon zest twist (or served Dicken's-style without a garnish),150.0
56,56,The Unforgettables,Gin Fizz,"{'Gin': '45', 'Fresh Lemon Juice': '30', 'Simple Syrup': '10'}","Shake all ingredients with ice except soda water. Pour into thin tall Tumbler glass , top with a splash soda water.  NOTE: Serve without ice.","Garnish with a lemon slice, optional lemon zest.",Gin Fizz,/cocktails/recipe/840/gin-fizz,"Agite todos los ingredientes con hielo, excepto el agua de soda. Verter en un vaso Tumbler alto y fino y añadir un chorrito de soda.  NOTA: Servir sin hielo.",Highball (max 10oz/300ml),Lemon slice on rim & mint sprig,
57,57,The Unforgettables,Hanky Panky,"{'London Dry Gin': '45', 'Sweet Red Vermouth': '45', 'Fernet Branca': '7.5'}",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Orange zest.,Hanky Panky,/cocktails/recipe/930/hanky-panky-cocktail,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de cóctel fría.,Nick & Nora glass,Orange zest twist  (go easy - orange oils add unwanted bitterness if overdone),
58,58,The Unforgettables,John Collins,"{'Gin': '45', 'Fresh Lemon Juice': '30', 'Simple Syrup': '15', 'Soda Water': '60'}",Pour all ingredients directly into a highball filled with ice. Stir gently. NOTE: Use ‘Old Tom' Gin for Tom Collins.,Garnish with a lemon slice and maraschino cherry.,John Collins,/cocktails/recipe/1069/john-collins,"Vierta todos los ingredientes directamente en un highball lleno de hielo. Remover suavemente. NOTA: Utilice ginebra ""Old Tom"" para el Tom Collins.",Collins glass,Orange slice & Luxardo Maraschino cherry on stick (sail),
59,59,The Unforgettables,Manhattan,"{'Rye Whiskey': '50', 'Sweet Red Vermouth': '20'}",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,Garnish with a cocktail cherry.,Manhattan,/cocktails/recipe/1247/manhattan-sweet,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Colar en una copa de cóctel fría.,Coupe glass,Orange zest twist (discarded) & Luxardo Maraschino Cherry,187.0
60,60,The Unforgettables,Martinez,"{'London Dry Gin': '45', 'Sweet Red Vermouth': '45'}",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,Lemon zest.,Martinez,/cocktails/recipe/1264/martinez,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de cóctel fría.,Coupe glass,Orange zest twist,169.0
61,61,The Unforgettables,Mary Pickford,"{'White Rum': '45', 'Fresh Pineapple Juice': '45', 'Maraschino Luxardo': '7.5', 'Grenadine Syrup': '5'}","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,Mary Pickford,/cocktails/recipe/1268/mary-pickford-cocktail,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Coupe glass,Luxardo Maraschino cherry,180.0
62,62,The Unforgettables,Monkey Gland,"{'Dry Gin': '45', 'Fresh Orange Juice': '45'}","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,Monkey Gland,/cocktails/recipe/1349/monkey-gland,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Coupe glass,Orange zest twist,180.0
63,63,The Unforgettables,Negroni,"{'Gin': '30', 'Bitter Campari': '30', 'Sweet Red Vermouth': '30'}","Pour all ingredients directly into a chilled old fashioned glass filled with ice, Stir gently.",Garnish with a half orange slice.,Negroni,/cocktails/recipe/1392/negroni-cocktail,"Verter todos los ingredientes directamente en un vaso old fashioned frío lleno de hielo, remover suavemente.",Old-fashioned glass,Orange wedge or slice and/or orange zest twist,119.0
64,64,The Unforgettables,Old Fashioned,{'Bourbon or Rye Whiskey': '45'},"Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Stir gently.","Garnish with an orange slice or zest, and a cocktail cherry.",Old Fashioned,/cocktails/recipe/1427/old-fashioned-cocktail-diffords-recipe,"Colocar el terrón de azúcar en un vaso old fashioned y saturar con bitter, añadir unos chorritos de agua sola. Mezcle hasta que se disuelva. Llene el vaso con cubitos de hielo y añada whisky. Remover suavemente.",Old-fashioned glass,Orange zest twist,213.0
65,65,The Unforgettables,Paradise,"{'Gin': '30', 'Apricot Brandy': '20', 'Fresh Orange Juice': '15'}","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,Paradise,/cocktails/recipe/1466/paradise,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Coupe glass,Orange zest twist (discarded & replaced with apricot wedge when in season),153.0
66,66,The Unforgettables,Planter's Punch,"{'Jamaican Rum': '45', 'Lime Juice': '15', 'Sugar Cane Juice': '30'}","Pour all ingredients directly in a small tumbler or a typical terracotta glass. NOTE: Add dilution up to taste, it can be given by water, ice or fresh juices.",Garnish with orange zest.,Planter's Punch,/cocktails/recipe/1566/planters-punch,"Verter todos los ingredientes directamente en un vaso pequeño o en un vaso típico de terracota. NOTA: Añadir dilución al gusto, puede ser agua, hielo o zumos frescos.",Collins glass,Orange slice & mint sprig,
67,67,The Unforgettables,Rusty Nail,"{'Scotch Whisky': '45', 'Drambuie': '25'}",Pour all ingredients directly into an old fashioned glass filled with ice. Stir gently.,Garnish with lemon zest.,Rusty Nail,/cocktails/recipe/1721/rusty-nail,Vierta todos los ingredientes directamente en un vaso old fashioned lleno de hielo. Remover suavemente.,Old-fashioned glass,Lemon zest twist,148.0
68,68,The Unforgettables,Sazerac,"{'Cognac': '50', 'Absinthe': '10'}","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass. Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass.  NOTE: The original recipe changed after the American Civil War, Rye Whiskey substituted Cognac as it became hard to obtain.",Garnish with lemon zest.,Sazerac,/cocktails/recipe/1752/sazerac-cocktail-diffords-recipe,"Enjuaga un vaso old-fashioned frío con la absenta, añade hielo picado y resérvalo. Remueva el resto de ingredientes sobre hielo en un vaso mezclador. Deseche el hielo y el exceso de absenta del vaso preparado y cuele la bebida mezclada en el vaso.  NOTA: La receta original se modificó después de la Guerra de Secesión, y el whisky de centeno sustituyó al coñac, que era difícil de conseguir.",Old-fashioned glass,Lemon zest twist (discarded),
69,69,The Unforgettables,Sidecar,"{'Cognac': '50', 'Triple Sec': '20', 'Fresh Lemon Juice': '20'}","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,Sidecar,/cocktails/recipe/1773/sidecar-diffords-spec,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Coupe glass,"Orange zest twist (a lemon zest twist is more classic). Some also like a sugared rim but hopefully, this cocktail's balance renders a sweet rim embellishment superfluous.",
70,70,The Unforgettables,Stinger,"{'Cognac': '50', 'White Crème de Menthe': '20'}",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Optional mint leave.,Stinger,/cocktails/recipe/1874/stinger,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de martini fría.,Old-fashioned glass,Mint sprigs bouquet,195.0
71,71,The Unforgettables,Tuxedo,"{'Old Tom Gin': '30', 'Dry Vermouth': '30'}",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Garnish with cherry and lemon zest,Tuxedo,/cocktails/recipe/4605/tuxedo-no-2-flora-bars-recipe,Vierta todos los ingredientes en un vaso mezclador con cubitos de hielo. Remover bien. Cuele en una copa de martini fría.,Coupe glass,Orange zest twist & Luxardo Maraschino cherry,201.0
72,72,The Unforgettables,Whiskey Sour,"{'Bourbon Whiskey': '45', 'Fresh Lemon Juice': '25', 'Sugar Syrup': '20', 'Egg White (Optional)': '20'}","Pour all ingredients into a cocktail shaker filled with ice. Shake well. Strain into cobbler glass. If served “On the rocks”, strain ingredients into an old fashioned glass filled with ice.  NOTE: If egg white is used shake little harder to release and incorporate the foam from the egg white.","Garnish with a half orange slice and maraschino cherry, optionally use orange zest.",Whiskey Sour,/cocktails/recipe/2083/whiskey-sour-diffords-recipe,"Vierta todos los ingredientes en una coctelera llena de hielo. Agitar bien. Colar en un vaso ""cobbler"". Si se sirve ""con hielo"", colar los ingredientes en un vaso old fashioned lleno de hielo.  NOTA: Si se utiliza clara de huevo, agitar un poco más fuerte para liberar e incorporar la espuma de la clara.",Old-fashioned glass,Skewered lemon slice wheel & Luxardo Maraschino cherry (sail),
73,73,The Unforgettables,White Lady,"{'Gin': '40', 'Triple Sec': '30', 'Fresh Lemon Juice': '20'}","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,White Lady,/cocktails/recipe/2091/white-lady-cocktail,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Coupe glass,Lemon zest twist,
